3140
qstr_Next_Page Next_Page
qstr__{s64}_succeeds_in_he _{s64}_succeeds_in_helping_everyone_hurt_by_the_waters_and_manages_to_build_a_low_dirt_levy_for_future_occurances.
qstr__{s64}_is_not_the_wi _{s64}_is_not_the_wisest_of_spenders,_however_the_villagers_do_acknowledge_your_generosity_and_blame_him_and_not_you.
qstr__{s64}_somehow_manages _{s64}_somehow_manages_to_pull_the_village_together_with_the_help_of_the_village_vicar_to_sooth_raw_nerves.
qstr__{s64}_fails_to_conv _{s64}_fails_to_convince_the_superstitious_villagers_of_your_viewpoints.
qstr__{s64}_somehow_manages_ _{s64}_somehow_manages_to_pull_the_village_together_and_they_find_a_way_with_well_water_to_give_nourishment_to_the_dying_crops.
qstr__Even_with_100_Dinar _Even_with_100_Dinars,_{s64}_fails_to_convince_the_superstitious_villagers_of_your_viewpoints.
qstr__{s64}_hires_the_Wit _{s64}_hires_the_Witch_and_within_24_hours_it_starts_to_rain._How_did_she_do_that?
qstr__The_{s64}_hires_the _The_{s64}_hires_the_Witch,_but_she_fails_to_bring_much_needed_relief.
qstr__The_Witch_blesses_t _The_Witch_blesses_the_crops_and_the_villagers_are_much_more_productive.
qstr__The_Village_Elder_h _The_Village_Elder_hires_the_Witch,_but_she_disappears_with_the_1000_Dinars!
qstr__The_Village_Elder_su _The_Village_Elder_succeeds_in_calming_down_the_situation.
qstr__The_Village_Elder_i _The_Village_Elder_is_unable_to_calm_the_two_clans_and_there_is_bloodshed_that_affects_the_prosperity_of_the_village.
qstr__The_Village_Elder_a _The_Village_Elder_and_the_local_milita_keep_the_peace.
qstr__The_Village_Elder_ac _The_Village_Elder_accepts_the_300_Dinars_and_this_difuses_the_situation.
qstr__The_Village_Elder_t _The_Village_Elder_takes_the_300_Dinars,_but_is_not_enough_to_stop_the_bloodshed_of_other_villagers.
qstr__The_Village_Elder_ta _The_Village_Elder_takes_the_500_Dinars_and_with_the_arrest_and_subsequent_hanging_of_the_clan_leaders,_manages_to_avoid_bloodshed,_but_there_are_some_very_angry_villagers.
qstr__The_Village_Elder_is _The_Village_Elder_is_unable_to_arrest_the_leaders_and_the_attempt_incites_additional_violence.
qstr_Angry_mob_of_Village Angry_mob_of_Villagers
qstr__An_angry_mob_of_vil _An_angry_mob_of_villagers_rampages_around_the_village!
qstr__The_Village_Elder_is_ _The_Village_Elder_is_unable_to_calm_the_villagers.
qstr__{s64}_manages_to_ca _{s64}_manages_to_capture_and_hang_the_thieves.__The_Horses_were_recovered.
qstr__The_Village_Elder_is_u _The_Village_Elder_is_unable_to_find_the_thieves_or_recover_the_horses.
qstr__{s64}_manages_to_bu _{s64}_manages_to_buy_several_plow_horses_and_resolves_the_situation.
qstr__{s64}_squanders_the _{s64}_squanders_the_money_and_is_unable_to_purchase_worthwhile_plow_horses.
qstr__{s64}_organizes_a_p _{s64}_organizes_a_posse_and_manages_to_capture_and_hang_the_thieves.__The_Horses_were_recovered.
qstr__{s64}_is_unable_to_ _{s64}_is_unable_to_find_the_thieves_or_recover_the_horses.
qstr_Horse_Thieves Horse_Thieves
qstr__The_Horse_Thieves_h _The_Horse_Thieves_have_been_sighted!
qstr__{s64}_succeeds_in_f _{s64}_succeeds_in_finding_a_way_to_eliminate_the_wolf_threat.
qstr__Without_help_the_wo _Without_help,_the_wolves_are_too_much_for_{s64}_to_deal_with!
qstr__Even_with_100_Dinars _Even_with_100_Dinars,_the_wolves_are_too_much_for_{s64}_to_deal_with!
qstr__{s64}_hires_the_Witc _{s64}_hires_the_Witch_and_soon_thereafter,_the_wolves_have_left_the_area._How_did_she_do_that?
qstr__The_{s64}_hires_the_ _The_{s64}_hires_the_Witch,_but_she_fails_in_her_attempt_to_deal_with_the_wolves.
qstr__{s64}_succeeds_in_t _{s64}_succeeds_in_turning_away_the_refugees.
qstr__{s64}_is_unable_to_g _{s64}_is_unable_to_get_the_refugees_to_leave.
qstr__{s64}_gives_the_ref _{s64}_gives_the_refuges_some_food_and_they_leave_peacefully.
qstr__The_refugees_take_t _The_refugees_take_the_food,_but_{s64}_is_unable_to_get_them_to_leave.
qstr__{s64}_manages_to_su _{s64}_manages_to_succesfully_integrate_the_refugees_into_{s54}.
qstr__The_refugees_do_not _The_refugees_do_not_assimilate_well_into_{s54},_causing_some_issues_with_the_location_population_that_{s64}_is_unable_to_smooth_over.
qstr__{s64}_has_the_local _{s64}_has_the_local_carpenters_build_houses_and_manages_to_succesfully_integrate_the_refugees_into_{s54}.
qstr__The_citizens_of_{s5 _The_citizens_of_{s54}_are_not_happy_that_these_refugees_get_preferential_treatment,_and_the_assimilation_of_these_people_into_{s54}_is_not_smooth.__{s64}_was_unsuccessful.
qstr_Angry_Refugees Angry_Refugees
qstr__The_refugees_get_an _The_refugees_get_angry_and_take_up_arms_against_you!
qstr__{s64}_has_the_local_ _{s64}_has_the_local_carpenters_repair_the_damage_from_the_fire.
qstr__{s64}_fails_to_enac _{s64}_fails_to_enact_the_repairs_and_the_citizens_of_{s54}_are_not_happy.
qstr__{s64}_succeeds_in_d _{s64}_succeeds_in_dealing_with_the_fire_damage.
qstr__{s64}_is_unable_to_d _{s64}_is_unable_to_deal_with_the_fire_damage_and_the_general_population_is_unhappy.
qstr__{s64}_finds_the_cit _{s64}_finds_the_citizens_who_appear_to_have_set_the_fire_and_hangs_them_in_the_marketplace_square.
qstr__{s64}_is_unable_to_f _{s64}_is_unable_to_find_anyone_that_looks_like_they_set_the_fires.__The_citizens_are_upset_over_the_strong-arm_attitude.
qstr__{s64}_has_managed_t _{s64}_has_managed_to_clean_the_well_and_the_locals_are_happy_with_your_actions.
qstr__{s64}_fails_to_clea _{s64}_fails_to_clean_up_the_well,_and_the_citizens_of_{s54}_are_not_happy.
qstr__{s64}_has_summoned_ _{s64}_has_summoned_the_physicians_and_they_have_dealt_with_the_well_issue.
qstr__The_medicine_men_th _The_medicine_men_that_{s64}_summons_fail_to_clean_up_the_well,_and_the_citizens_of_{s54}_are_not_happy.
qstr__{s64}_found_the_cul _{s64}_found_the_culprit_and_tortured_a_confession_out_of_him.___The_confession_points_to_{s51}_as_the_person_who_was_behind_this_evil_deed!__The_well_eventually_is_usable_again_after_many_dozens_of_people_fall_ill.
qstr__{s64}_fails_to_find_ _{s64}_fails_to_find_the_culprit.__The_well_eventually_washes_out_the_poison,_but_not_before_more_people_fall_ill.__The_citizens_of_{s54}_are_not_happy.
qstr__{s64}_found_the_culp _{s64}_found_the_culprit_and_hanged_him_in_the_marketplace.__The_well_eventually_is_usable_again_after_many_dozens_of_people_fall_ill.
qstr__{s64}_turns_the_Her _{s64}_turns_the_Heretic_over_to_the_Knights_of_the_Dawn.
qstr__{s64}_has_the_priso _{s64}_has_the_prisoner_tortured_and_in_the_end_he_confesses_to_being_a_Heretic_and_having_commited_murder.
qstr__{s64}_reports_that_ _{s64}_reports_that_the_Heretic_prisoner_escaped!
qstr__{s64}_determines_th _{s64}_determines_that_the_prisoner_is_a_Heretic_and_is_executed_forthwith.
qstr__After_extensive_inv _After_extensive_investigation,_{s64}_determines_that_the_prisoner_is_not_a_heretic_and_is_let_go.
qstr_Heretic_Hunters Heretic_Hunters
qstr__{s64}_finds_ways_to _{s64}_finds_ways_to_protect_the_local_orphans_and_organizes_a_search_that_eventually_turns_up_the_spy.__Unfortunately_the_spy_did_not_survive_the_experience.
qstr__{s64}_leads_the_for _{s64}_leads_the_forces_who_eventually_find_the_spy.__Unfortunately_the_spy_did_not_survive_the_experience.
qstr__{s64}_conducts_a_ho _{s64}_conducts_a_house_to_house_search_but_fails_to_find_the_spy._The_citizens_are_unsettled_by_the_commotion.
qstr__{s64}_has_the_capta _{s64}_has_the_captain_of_the_guard_flogged.__Unfortunately_the_citizens_and_your_troops_do_not_approve.
qstr_Snake_Cult_Spies Snake_Cult_Spies
qstr__{s64}_takes_the_new _{s64}_takes_the_news_well_and_manages_to_convey_your_decision_to_the_farmers_so_that_they_do_not_riot.
qstr__{s64}_orders_that_t _{s64}_orders_that_the_shrine_not_be_replaced!
qstr__{s64}_successfully_ _{s64}_successfully_conveys_to_the_citizens_that_the_shrine_is_not_to_be_built!
qstr__{s64}_orders_that_th _{s64}_orders_that_the_shrine_not_be_replaced!__The_Knights_of_the_Dawn_withdraw_peacefully.
qstr__{s64}_takes_the_news _{s64}_takes_the_news_well,_but_your_citizens_revolt..
qstr__{s64}_orders_that_the _{s64}_orders_that_the_shrine_not_be_replaced.__The_local_citizens_are_upset.
qstr__{s64}_tries_to_calm _{s64}_tries_to_calm_down_the_citizens,_but_to_no_avail.__Some_of_them_riot_in_the_streets_causing_economic_upheaval!
qstr__{s64}_tells_the_Kni _{s64}_tells_the_Knights_of_the_Dawn_of_your_orders_and_they_are_not_at_all_pleased!
qstr_Astraea_Zealots! Astraea_Zealots!
qstr_Zealots! Zealots!
qstr__{s64}_rejoices_at_y _{s64}_rejoices_at_your_decision_and_the_local_farmers_praise_your_name._
qstr__{s64}_happily_order _{s64}_happily_orders_the_small_shrine_built!
qstr__{s64}_orders_that_the_ _{s64}_orders_that_the_Eunomia_Stabilitis_shrine_be_errected!
qstr__The_Knights_of_the_ _The_Knights_of_the_Dawn_are_overjoyed.__Not_only_do_they_build_their_shrine_to_Astraea,_they_tear_down_other_small_shrines_in_the_area!
qstr__The_shrine_is_built _The_shrine_is_built,_but_it_apparently_has_very_few_followers.
qstr__{s64}_oversees_the_ _{s64}_oversees_the_shrine,_but_soon_after_it_is_built,_it_is_raided_and_defaced.__People_are_afraid_to_visit_it.
qstr__{s64}_tries_to_calm_ _{s64}_tries_to_calm_down_the_citizens,_but_to_no_avail.__Some_of_them_riot_in_the_streets_causing_economic_upheaval._!
qstr__{s64}_infoms_the_Kn _{s64}_infoms_the_Knights_of_the_Dawn_and_they_start_to_build_their_shrine.__There_is_widespread_resistance_when_they_attempt_to_destroy_other_shrines!
qstr__Zealots_take_arms_a _Zealots_take_arms_against_you!
qstr__{s64}_succeeds_in_s _{s64}_succeeds_in_sending_the_pilgrims_away.
qstr__{s64}_is_unable_to_de _{s64}_is_unable_to_deal_with_the_pilgrims_and_there_are_hard_feelings_which_make_the_general_population_unhappy.
qstr__{s64}_sends_for_the _{s64}_sends_for_the_Physicians_of_the_Radiant_Cross,_who_come_with_all_haste_to_treat_whose_with_Malady._The_locals_are_happy_with_your_actions.
qstr__{s64}_is_unable_to_e _{s64}_is_unable_to_enlist_the_aid_of_the_Radiant_Cross_Knights_and_the_citizens_of_{s54}_are_not_happy.
qstr__{s64}_manages_to_fi _{s64}_manages_to_find_healers,_who_come_with_all_haste_to_treat_whose_with_Malady._The_locals_are_happy_with_your_actions.
qstr__{s64}_is_unable_to_en _{s64}_is_unable_to_enlist_the_aid_any_healers_and_the_citizens_of_{s54}_are_not_happy.
qstr__{s64}_repents_and_m _{s64}_repents_and_manages_to_find_herbalists,_and_other_healers,_who_treat_those_with_Malady._The_locals_are_happy_with_your_actions.
qstr__{s64}_prays_for_rep _{s64}_prays_for_repentance_and,_ultimately,_more_people_are_afflicted_with_disease.__The_citizens_of_{s54}_are_not_happy.
qstr__{s64}_somehow_manages_t _{s64}_somehow_manages_to_find_herbalists_and_other_healers,_who_treat_those_with_Malady.
qstr__{s64}_has_no_idea_w _{s64}_has_no_idea_what_to_do_and_ultimately,_more_people_are_afflicted_with_disease.__The_citizens_of_{s54}_are_not_happy.
qstr_Mettenheim_Plunderer Mettenheim_Plunderers
qstr_Veccavi_Hunters Veccavi_Hunters
qstr_Jatu_Mercenary_Raide Jatu_Mercenary_Raiders
qstr_Mercenary_War_Band Mercenary_War_Band
qstr_Barclay_Mercenary_Ad Barclay_Mercenary_Adventurers
qstr_Melitine_Mercenary_A Melitine_Mercenary_Adventurers
qstr_Singalian_Mercenary_ Singalian_Mercenary_Slavers
qstr__{s64}_informs_the_M _{s64}_informs_the_Mercenary_company_to_move_along.
qstr__{s64}_informs_the_Me _{s64}_informs_the_Mercenary_company_to_leave_immediately.
qstr__Your_generosity_att _Your_generosity_attracts_additional_Mercenaries_to_your_cause.
qstr_{s14} {s14}
qstr__The_{s20}_is_offend _The_{s20}_is_offended!
qstr__The_Mercenary_compa _The_Mercenary_company_joins_your_forces_in_{s54}.
qstr__{s64}_found_the_thi _{s64}_found_the_thief_and_he_most_certainly_was_not_stealing_from_true_need.__The_citizens_think_you_are_soft_towards_crime.
qstr__{s64}_fails_to_find_t _{s64}_fails_to_find_the_culprit.__The_citizens_mutter_about_the_failure_to_find_the_thief.
qstr__{s64}_improves_the_ _{s64}_improves_the_patrols_and_the_citizens_feel_safer_with_no_additional_events_of_this_nature.
qstr__{s64}_manages_to_se _{s64}_manages_to_search_many_houses_and_finds_the_thief.__There_was_a_brief_but_fair_trial.__The_citizens_are_relieved.
qstr__{s64}_fails_to_find_th _{s64}_fails_to_find_the_culprit_and_upsets_many_citizens_in_the_search.
qstr__{s64}_puts_out_the_ _{s64}_puts_out_the_reward,_and_the_thief_is_found_and_executed_promptly._The_citizens_are_thankful.
qstr__Even_with_the_200_d _Even_with_the_200_denar_reward,_the_thief_is_nowhere_to_be_found._{s64}_fails_to_find_the_culprit.__The_citizens_mutter_about_the_failure_to_find_the_thief.
qstr__{s64}_is_able_to_en _{s64}_is_able_to_enact_the_repairs_with_the_help_of_{reg3}_denars.
qstr__{s64}_obtains_the_s _{s64}_obtains_the_services_of_two_engineering_students_who_manage_to_die_when_a_wall_they_were_constructing_falls_on_them_
qstr__{s64}_is_somehow_ab _{s64}_is_somehow_able_to_enact_the_repairs_using_his_own_engineering_skills.
qstr__{s64}_understands_y _{s64}_understands_your_position_and_the_repairs_are_not_done.
qstr__{s64}_spreads_the_d _{s64}_spreads_the_denars_around_to_your_troops,_and_you_have_no_desertions.
qstr__{s64}_somehow_manages_to _{s64}_somehow_manages_to_get_tongue_tied_and_garbles_your_message_to_the_troops.__This_has_some_unfortunate_consequences.
qstr__{s64}_spreads_the_w _{s64}_spreads_the_word_and_all_Deserters_flee_the_area.__The_good_news_is_you_do_not_have_to_pay_a_single_Denar!
qstr__{s64}_passes_along_ _{s64}_passes_along_your_information_and_fate_takes_care_of_the_rest.
qstr__{s64}_informs_you_t _{s64}_informs_you_that_the_Deserters_are_outside_the_gates!
qstr_Brigand_Deserters! Brigand_Deserters!
qstr__{s64}_somehow_manages_to_ _{s64}_somehow_manages_to_convince_the_trade_delegation_to_part_with_2000_Dinars.__The_trade_route_has_been_set_up_and_a_significant_bonus_to_prosperity_has_been_achieved.
qstr__{s64}_reports_that_t _{s64}_reports_that_the_trade_delgation_laughed_at_your_suggestion_and_left_immediately.
qstr__{s64}_sets_up_the_n _{s64}_sets_up_the_necessary_forms_and_contacts_and_arranges_the_trade_route_to_be_set_up_which_gives_a_significant_bonus_to_the_prosperity_of_{s54}.
qstr__Somehow_{s64}_has_m _Somehow_{s64}_has_managed_to_insult_the_trade_delegation_and_they_leave_in_a_huff.__The_trade_route_has_not_been_set_up.
qstr__The_trade_delegatio _The_trade_delegation_leaves_immediately.
qstr_Obliterated Obliterated
qstr_Destroyed Destroyed
qstr_Crushed Crushed
qstr_Fading Fading
qstr_Weakened Weakened
qstr_Healthy Healthy
qstr_Strong Strong
qstr_Overwhelming Overwhelming
qstr_Invincible Invincible
qstr_Nothing_as_there_is_ Nothing_as_there_is_no_Knighthood_Order_present.
qstr_{s8}_from_{s7}. {s8}_from_{s7}.
qstr_{s6}_from_{s8}. {s6}_from_{s8}.
qstr__I_promise_that_your _I_promise_that_your_defeat_will_be_glorious!
qstr__Then_let_us_test_ou _Then_let_us_test_our_battle_prowess!
qstr__To_Arms! _To_Arms!
qstr___Very_well:_Let_us_ __Very_well:_Let_us_do_battle!
qstr__You_don_t_look_all_ _You_don't_look_all_that_tough_to_me!
qstr__If_we_must_let_us_d _If_we_must,_let_us_die_gloriously!
qstr__You_will_join_your_ _You_will_join_your_ancestors_soon!
qstr__You_don_t_look_part _You_don't_look_particularly_formidable_to_me.
qstr__Better_to_die_in_ba _Better_to_die_in_battle_than_live_as_maggots_like_you.
qstr__I_ve_seen_more_frig _I've_seen_more_frightening_sights_than_you_in_a_brothel.
qstr__If_I_were_afraid_of _If_I_were_afraid_of_the_likes_of_you,_I'd_fall_on_my_sword_in_disgust.
qstr__Make_peace_with_you _Make_peace_with_your_Gods_while_you_still_can.
qstr__Do_you_really_think _Do_you_really_think_you're_all_that_terrifying?__Hah!
qstr__I_hope_Hell_has_eno _I_hope_Hell_has_enough_room_for_you_and_all_your_ancestors.
qstr__If_you_think_you_ca _If_you_think_you_can_win_this_fight,_you're_missing_a_few_arrows_in_your_quiver.
qstr__You_intend_to_fight _You_intend_to_fight_me?__Which_are_you,_drunk_or_just_plain_stupid?
qstr__You!__Stand_aside_m _You!__Stand_aside_mendicant_and_show_your_betters_proper_respect!
qstr__I_challenge_you_war _I_challenge_you_warrior!__Prove_your_honor_in_a_feat_of_arms,_or_die_trying!
qstr__Hail_and_well_met!_ _Hail_and_well_met!__Prepare_yourself_for_a_long_journey.._into_your_next_life!
qstr__Ah_good!__Just_in_t _Ah_good!__Just_in_time_to_test_my_steel!
qstr__Have_at_thee_knave! _Have_at_thee,_knave!
qstr__It_s_been_a_boring_ _It's_been_a_boring_day_so_I_suppose_a_fight_with_you_will_relieve_my_boredom.
qstr__Challenge_me_will_y _Challenge_me,_will_you?__I'll_cut_you_into_ribbons,_fool,_before_I_eat_your_liver.
qstr__You_look_a_bit_lost _You_look_a_bit_lost.__Care_for_a_bit_of_help_finding_your_Maker?__Have_at_'em,_boys!
qstr__More_Blood! _More_Blood!
qstr_no_tidbits_of_value no_tidbits_of_value
qstr_no_information_of_in no_information_of_interest
qstr_no_interesting_news no_interesting_news
qstr_no_new_rumors_to_rep no_new_rumors_to_report
qstr_no_new_information no_new_information
qstr_very_little_worth_re very_little_worth_repeating
qstr_nothing_but_worthles nothing_but_worthless_gossip_and_fishwives_tales
qstr_nothing_but_innuendo nothing_but_innuendo_and_worthless_boasts
qstr_no_news_worth_repeat no_news_worth_repeating
qstr__My_{reg63?Captain:L _My_{reg63?Captain:Lady},
qstr__Business_has_been_b _Business_has_been_brisk_and
qstr__Well_in_truth_{play _Well_in_truth,_{playername},
qstr__Hmmm_{playername}._ _Hmmm,_{playername}.__My_sources_have_dried_up,_and
qstr__My_good_{playername _My_good_{playername},_I_have_been_very_busy_and
qstr__I_am_sorry_{playern _I_am_sorry,_{playername},
qstr_._Try_next_week. ._Try_next_week.
qstr_._Perhaps_you_should ._Perhaps_you_should_go_ask_someone_else.
qstr_._You_might_have_bet ._You_might_have_better_luck_elsewhere.
qstr_._Ask_me_later_say_i ._Ask_me_later,_say_in_about_a_week.
qstr_._I_am_sure_there_ar ._I_am_sure_there_are_others_that_have_the_information_you_are_looking_for.
qstr_._Perhaps_later_I_wi ._Perhaps_later_I_will_overhear_something_of_interest.
qstr_._Come_back_another_ ._Come_back_another_time.
qstr_. .
qstr__{s2}_I_have_heard_{ _{s2}_I_have_heard_{s5}{s6}
qstr__{s2}_there_have_bee _{s2}_there_have_been_{s5}{s6}
qstr__{s2}_I_have_to_say_ _{s2}_I_have_to_say_there_is_{s5}{s6}
qstr__{s2}_few_people_hav _{s2}_few_people_have_been_talking_and_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_il _{s2}_I_have_been_ill,_so_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_bu _{s2}_I_have_been_busy_with_this_shipment_so_I_have_{s5}_for_you{s6}
qstr__{s2}_I_haven_t_had_ _{s2}_I_haven't_had_the_time_yet_to_listen_for_such,_so_unfortunately_I_have_{s5}_for_you{s6}
qstr__{s2}_I_have_been_bus _{s2}_I_have_been_busy_with_my_apprentices,_so_I_have_{s5}_to_tell_you{s6}
qstr__Ah!_It_is_unfortuna _Ah!_It_is_unfortunate_My_{reg63?Lord:Lady},_as
qstr__More_is_the_pity_go _More_is_the_pity_good_{reg63?sir:madame},_as
qstr__I_have_been_idle_to _I_have_been_idle_too_long,_and
qstr__I_have_been_busy_wi _I_have_been_busy_with_personal_matters_of_late,_and
qstr__My_ears_and_eyes_ha _My_ears_and_eyes_have_been_open,_but,
qstr__I_am_sorry _I_am_sorry,
qstr_no_information_of_va no_information_of_value
qstr_very_little_interest very_little_interesting_news
qstr_no_valuable_news no_valuable_news
qstr_only_worthless_whisp only_worthless_whispers
qstr_nothing_but_the_chan nothing_but_the_change_of_weather_and_drunken_songs
qstr_only_unconfirmed_whi only_unconfirmed_whispers_of_no_value
qstr_only_unsubstantiated only_unsubstantiated_gossip_for
qstr_._I_am_sorry_my_frie ._I_am_sorry_my_friend,_there_are_times_when_I'm_just_not_privy_to_the_happenings_of_the_land.
qstr_._These_things_happe ._These_things_happen.__In_a_day_or_two_I_will_have_some_more_tantalizing_gossip_for_you.
qstr_._That_will_change_h ._That_will_change_however,_as_it_always_does.__Then_I_will_hear_something_of_great_value.
qstr_.__If_you_are_in_a_h .__If_you_are_in_a_hurry,_try_speaking_to_the_merchants_or_stewards,_sometimes_they_hear_nuggets_of_information.
qstr_._Never_fear_my_ear_ ._Never_fear,_my_ear_is_to_the_ground_and_I_am_bound_to_hear_something_soon.._it_is,_after_all,_my_profession!
qstr_._Let_me_snoop_about ._Let_me_snoop_about_and_ask_some_questions.__In_a_day_or_two_come_back_and_I_should_know_more.
qstr_._Perhaps_you_should_ ._Perhaps_you_should_come_back_tomorrow._A_few_drinks_here,_a_lover's_whisper_there,_and_information_flows_like_water.
qstr__{s2}_I_have_to_admi _{s2}_I_have_to_admit_there_is_{s5}{s6}
qstr__{s2}_so_few_people_ _{s2}_so_few_people_have_been_gossiping.__I_have_heard_{s5}{s6}
qstr__{s2}_I_have_encount _{s2}_I_have_encountered_so_few_people_of_late,_so_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_en _{s2}_I_have_been_engaged_on_a_secret_mission,_so_I_have_{s5}{s6}
qstr__{s2}_I_wish_I_had_b _{s2}_I_wish_I_had_better_news_for_you,_but_as_the_fates_would_have_it,_I_have_{s5}_for_you{s6}
qstr__{s2}_I_have_been_oc _{s2}_I_have_been_occupied_with_business_of_a_paying_nature,_so_I_have_{s5}_to_tell_you{s6}
qstr__Ah!_It_is_an_unluck _Ah!_It_is_an_unlucky_turn_of_events,_good_{reg63?Sir:Lady},_as
qstr__Sad_tales_good_{reg _Sad_tales,_good_{reg63?sir:madame},_as
qstr__I_have_been_too_bus _I_have_been_too_busy_with_the_flesh_trade,_and
qstr__My_ears_are_open_bu _My_ears_are_open,_but,
qstr_so_little_coherent_i so_little_coherent_information_of_value
qstr_no_gossip_of_interes no_gossip_of_interest
qstr_very_little_interesti very_little_interesting_news_to_share
qstr_only_worthless_slave only_worthless_slave_talk
qstr_nothing_but_the_crie nothing_but_the_cries_of_women_and_moans_of_bench_slaves
qstr_only_the_wild_tales_ only_the_wild_tales_of_the_soon_to_be_shackled
qstr_only_minor_gossip_an only_minor_gossip_and_talk_of_endless_wars
qstr_._I_am_sorry_my_prof ._I_am_sorry,_my_profession_is_to_enslave_the_unwilling,_not_listen_to_their_tales_of_woe.
qstr_._Information_like_w ._Information_like_what_you_seek_comes_to_me_every_week_or_so.__Check_back_then.
qstr_._Pity_too_as_I_coul ._Pity_too,_as_I_could_use_some_juicy_gossip_to_lift_my_spirits.
qstr_._If_you_are_in_a_hu ._If_you_are_in_a_hurry,_try_speaking_to_the_other_patrons_in_the_taverns_and_maybe_even_the_merchants.
qstr_._If_you_want_to_kno ._If_you_want_to_know_the_real_juicy_stories,_then_seek_out_those_wandering_spies_in_the_taverns.__They_know_a_thing_or_two.
qstr_._Those_guild_rats_n ._Those_guild-rats_never_tell_me_anything.__Just_buy_the_flesh,_pay_the_coin_and_staff_the_galleys!
qstr_._Hell_I_am_bound_to ._Hell,_I_am_bound_to_hear_something_worth_passing_on_at_some_point_during_this_next_week.__I_always_do.
qstr_._Perhaps_you_should_c ._Perhaps_you_should_come_back_next_week.__I_am_expecting_a_delivery_soon_and_that_source_always_spins_a_good_yarn.
qstr__{s2}_I_must_tell_yo _{s2}_I_must_tell_you_I_have_heard_{s5}{s6}
qstr__{s2}_so_few_people_h _{s2}_so_few_people_have_been_willing_to_speak.__I_have_heard_{s5}{s6}
qstr__{s2}_I_have_encounte _{s2}_I_have_encountered_only_slaves_of_late,_so_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_sp _{s2}_I_have_been_speaking_to_the_guild_masters,_so_I_have_{s5}_for_you{s6}
qstr__{s2}_I_wish_that_my _{s2}_I_wish_that_my_tidings_were_better._As_the_fates_would_have_it_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_ov _{s2}_I_have_been_overtaxed_with_some_escaped_slaves,_so_I_have_{s5}_to_tell_you{s6}
qstr_no_news no_news
qstr_only_worthless_infor only_worthless_information
qstr_nothing_but_soldiers nothing_but_soldiers'_tales_and_cooks'_gossip
qstr_unsubstantiated_goss unsubstantiated_gossip
qstr__My_{reg63?Lord:Lady _My_{reg63?Lord:Lady},
qstr__Castle_business_is_ _Castle_business_is_taxing_and
qstr__Of_course_good_{reg _Of_course_good_{reg63?Lord:Lady},
qstr__My_sources_are_mute _My_sources_are_muted,
qstr_._I_am_sorry_{reg63? ._I_am_sorry_{reg63?Lord:Lady},_I_will_try_harder_to_listen_in_the_future.
qstr_._Perhaps_you_should_a ._Perhaps_you_should_ask_someone_else.__A_spy_perhaps?
qstr_._Have_you_tried_see ._Have_you_tried_seeking_information_in_the_Taverns?
qstr_._Have_you_thought_o ._Have_you_thought_of_asking_Merchants,_they_are_in_contact_with_many_sorts_of_travelers_and_hear_many_rumors_and_newsworthy_tidbits.
qstr_._I_am_sure_that_the ._I_am_sure_that_there_are_others_that_have_the_information_you_seek.
qstr_._I_am_not_a_rumor_m ._I_am_not_a_rumor_monger_my_{reg63?Lord:Lady},_so_I_do_not_have_a_tendency_to_seek_out_gossip.
qstr_._Perhaps_you_should_co ._Perhaps_you_should_come_back_another_time.__One_never_knows_what_one_will_overhear_in_these_halls.
qstr__{s2}_few_people_have _{s2}_few_people_have_been_gossiping.__I_have_heard_{s5}{s6}
qstr__{s2}_I_have_been_busy _{s2}_I_have_been_busy_in_the_castle,_so_I_have_heard_{s5}{s6}
qstr__{s2}_I_have_not_had _{s2}_I_have_not_had_the_time_to_listen_to_idle_gossip,_so_I_have_{s5}_for_you{s6}
qstr__{s2}_I_wish_I_had_be _{s2}_I_wish_I_had_better_news_for_you,_but_unfortunately_I_have_{s5}_for_you{s6}
qstr__{s2}_I_have_been_busy_ _{s2}_I_have_been_busy_with_the_pages,_cooks,_and_chambermaids,_so_I_have_{s5}_to_tell_you{s6}
qstr__a_little_something _a_little_something
qstr__a_rumor _a_rumor
qstr__an_interesting_tale _an_interesting_tale
qstr__something_of_intere _something_of_interest
qstr__some_dark_whispers _some_dark_whispers
qstr__a_piece_of_informat _a_piece_of_information
qstr__a_newsworthy_story _a_newsworthy_story
qstr__some_troubling_news _some_troubling_news
qstr__some_worthwhile_inf _some_worthwhile_information
qstr__a_story _a_story
qstr__Ah_yes!__I_do_know{ _Ah_yes!__I_do_know{s9}_which_would_interest_you.
qstr__I_m_glad_you_asked_ _I'm_glad_you_asked_{reg63?Lord:Lady}_{playername}.
qstr__As_a_matter_of_fact _As_a_matter_of_fact,{s9}_did_pass_my_way.
qstr__Funny_you_should_as _Funny_you_should_ask_that.
qstr__Hmm.._yes!__I_did_h _Hmm.._yes!__I_did_hear{s9}_recently.
qstr__Ha!__Yes_I_did_run_ _Ha!__Yes,_I_did_run_across{s9}_which_you_may_find_of_value.
qstr__Well_yes_I_have_bee _Well,_yes_I_have_been_told{s9}.
qstr__{s2}_I_have_been_so _{s2}_I_have_been_so_busy_with_these_shipments_I_almost_forgot_about_it!
