stringsfile version 1
5057
str_no_string NO_STRING!
str_npc_frederick_kingsupport_2a Even-handedness_is_crucial_to_any_monarch,_and_I_will_never_forget_that.
str_npc_ediz_kingsupport_2a A_fair_ruler_must_be_a_brave_one,_but_harsh_to_those_who_break_the_laws.
str_npc_sara_kingsupport_2a That_would_be_very_helpful._I_thank_you,_my_Court_Bard_to_be.
str_npc_donavan_kingsupport_2a That_would_be_amazing_-_Pendor_would_be_invincible!
str_npc_diev_kingsupport_2a I_had_faith_in_you_and_you_proved_me_right...
str_npc_alyssa_kingsupport_2a I_will_allow_freedom_of_religion,_subject_to_Pendor_laws._Sacrifice,_however,_must_end.
str_npc_roland_kingsupport_2a I_will_always_want_you_at_my_right_hand_to_advise_me;_you_are_my_moral_compass.
str_npc_kaverra_kingsupport_2a You_know_I_would_do_that...
str_npc_sigismund_kingsupport_2a Keeping_the_peasants_safe_is_little_enough_to_ask_and_I_promise_to_do_so.
str_npc_boadice_kingsupport_2a I_will_lend_you_what_aid_I_can_when_you_fight_for_your_throne.
str_npc_adonja_kingsupport_2b I_have_fought_and_killed_a_lot_of_your_clanspeople...
str_npc_leslie_kingsupport_2b What's_the_point_in_seeking_support_from_greedy_merchants,_unless_there's_profit_in_it?
str_npc_ansen_kingsupport_2b I_cannot_pledge_to_follow_only_archaic_ways.
str_npc_riva_kingsupport_2b Hmph,_that_obsession_again._I've_no_interest_in_pretentiousness_of_that_sort.
str_npc_kassim_kingsupport_2b I_wish_to_be_{reg63?king:queen},_not_adjudicate_tribal_blood_feuds_and_encourage_trespass_or_raids.
str_npc_lethaldiran_kingsupport_2b I_may_not_be_able_to_live_up_to_your_expectations_for_the_Noldor.
str_npc_jocelyn_kingsupport_2b You_ask_rather_more_than_I_can_likely_deliver.
str_npc_alistair_kingsupport_2b That's_a_rather_presumptuous_condition.
str_npc_rayne_kingsupport_2b I'm_not_sure_that_restoring_your_Order_would_be_quite_that_easy.
str_npc_julia_kingsupport_2b I'll_need_some_time_to_consider_your_words.
str_npc_frederick_kingsupport_2b Mettenheim_ways_are_not_the_ways_of_Pendor.
str_npc_ediz_kingsupport_2b I_will_not_permit_slavers_to_continue_their_trade_in_Singal!
str_npc_sara_kingsupport_2b I_do_believe_my_modesty_would_be_offended_by_that.
str_npc_donavan_kingsupport_2b I've_no_wish_to_impose_sadistic_military_discipline_or_import_troops.
str_npc_diev_kingsupport_2b I'd_be_{reg63?king:queen}_of_the_alley_scaff_and_raff,_at_best,_I_fear._Enough_of_such_talk.
str_npc_alyssa_kingsupport_2b I_cannot_allow_the_Snake_Cult_to_kidnap_girl_babies_or_practice_human_sacrifice.
str_npc_roland_kingsupport_2b I_think_your_standards_are_too_high_for_me_to_live_up_to...
str_npc_kaverra_kingsupport_2b I_don't_think_your_wish_is_possible_-_there_will_always_be_dangers_in_Pendor.
str_npc_sigismund_kingsupport_2b I_cannot_offend_the_lords_by_favoring_peasants_at_the_lords'_expense...
str_npc_boadice_kingsupport_2b I_cannot,_however,_pledge_to_allow_your_countrywomen_to_capture_men_here.
str_npc_adonja_kingsupport_3 I_know_a_few_merchants_and_traders_who_don't_disdain_doing_a_little_business_with_the_Mystmountain_Clans._I_could_talk_to_them,_maybe_sound_them_out_on_supporting_you._If_I_told_them_you'd_end_the_raids,_they'd_likely_comply_with_your_aims.
str_npc_leslie_kingsupport_3 If_you_like,_I_might_visit_the_guildhalls_and_inns_where_I_have_trading_contacts,_and_tell_them_about_your_plans_to_expand_the_Pendor_economic_system_and_improve_trade._If_I_told_them_you'd_lower_tariffs_and_taxes,_they_would_go_along!_What_do_you_say_to_that,_captain?
str_npc_ansen_kingsupport_3 If_you_pledged_to_respect_the_old_traditions_of_Pendor,_my_{reg63?lord:lady},_many_of_the_merchants_would_accept_your_rule._If_you_restore_the_old_Pendorian_system,_then_arguably_you_are_a_more_legitimate_{reg63?king:queen}_than_any_of_these_come-lately_usurpers._Give_me_leave_for_several_weeks,_and_I_will_inform_the_merchant_houses_of_your_intention_to_restore_their_ancient_rights.
str_npc_riva_kingsupport_3 Ah,_yes,_an_ancient_and_honorable_line,_indeed._If_you_give_me_leave,_'Majesty',_I_shall_visit_the_villages_and_castles_of_this_realm_and_make_known_the_details_of_your_royal_ancestry._Of_course,_I_trust_you_will_remember_my_service_to_you,_when_you_begin_to_distribute_lands...
str_npc_kassim_kingsupport_3 {reg63?Bahadur:Bibi},_we_D'Shar_live_by_honor_and_herding_our_flocks._Grant_me_a_few_weeks_to_tell_my_kin_that_you_support_the_restoration_of_our_ancient_rights,_and_will_not_be_overly_harsh_should_we_lapse_on_occasion_into_tribal_feuds._When_our_tribes_speak_of_you_as_Bahadur,_you_will_be_halfway_into_the_khan's_tent!
str_npc_lethaldiran_kingsupport_3 Though_I_am_exiled_from_my_people,_I_yet_speak_with_old_friends_amongst_them._If_I_tell_them_that_as_{reg63?king:queen},_you_will_end_persecution_of_the_Noldor,_some_will_be_persuaded._I_may,_ahem,_remove_a_few_of_the_more_strident_objectors.
str_npc_jocelyn_kingsupport_3 I've_friends_yet_in_Eventide,_as_well_as_other_Orders._I'll_see_what_support_for_you_I_can_raise_amongst_Pendor's_knightly_Orders.
str_npc_alistair_kingsupport_3 I'm_sure_a_few_of_my_old_cohorts_will_lend_me_an_ear_and_some_support_for_your_cause._Shall_I_see_what_I_can_do_for_you?
str_npc_rayne_kingsupport_3 You_are_wise,_{reg63?sir:madam}._A_restored_Order_of_the_Falcon_will_prove_a_strong_aid_to_your_conquest_and_defense_of_Pendor._I_shall_inform_the_nobility_of_your_intentions_-_I_need_only_a_few_weeks_to_get_the_word_out_where_it_will_do_the_most_good._Court_gossip_will_do_the_rest.
str_npc_julia_kingsupport_3 Well_then,_just_give_me_leave_for_a_few_weeks_and_see_how_fast_I_can_tell_the_common_folk_that_you_will_rule_justly_and_equitably,_and_that_lords_and_commoners_alike_will_be_as_be_one_under_your_law._When_they_begin_to_speak_of_you_as_{reg63?king:queen},_they'll_begin_to_think_of_you_as_one...
str_npc_frederick_kingsupport_3 Support_from_Mettenheim_would_aid_your_cause,_and_I_am_sure_that_I_can_convince_some_of_the_Mettenheim_troops_in_Pendor_to_follow_you,_if_I_go_amongst_them_for_a_time.
str_npc_ediz_kingsupport_3 Captain,_I_have_a_certain_standing_amongst_my_people._I_did_not_mention_it_before,_but_my_father_is_a_powerful_headman._I_might_persuade_him_to_back_your_cause.
str_npc_sara_kingsupport_3 Then_give_me_leave_for_a_few_weeks,_my_gallant_friend,_and_I_will_spin_such_a_tales_of_you_as_will_inspire_the_dullest_lord!_The_encomiums_I_bestow_upon_your_virtues,_compassion,_generosity,_and_indignation_at_the_state_of_Pendor_will_win_their_hearts._Ahem,_I_may_need_to_take_a_certain_amount_of_poetic_license_with_the_details,_you_understand.
str_npc_donavan_kingsupport_3 Give_me_leave_for_a_few_weeks,_{reg63?sir:madam},_and_I_will_let_all_the_worthy_men_of_this_land_know_that_you_are_the_one_to_unite_not_just_Pendor,_but_all_the_other_Pendorian_dominions._For_according_to_my_thinking,_no_one_should_be_{reg63?king:king_or_queen}_here_unless_they_have_the_capacity_to_rule_the_entirety_of_the_realm_--_and_you_alone_have_demonstrated_such_a_capacity,_{reg63?sir:madame}.
str_npc_diev_kingsupport_3 Allow_me_a_couple_of_weeks_leave,_Captain._I'll_stop_and_shoot_a_deer_or_boar_in_the_lord's_preserve_on_my_way_to_Rane,_host_a_fine_dinner_in_the_back_alleys,_and_make_sure_the_word_gets_out_that_you_are_the_{reg63?king:queen}_who_should_rule_Pendor!_I'll_drop_a_few_hints_in_the_merchants'_ears_while_I'm_at_it,_too,_and_that_way,_word_will_spread_everywhere_a_Rane_caravan_can_travel.
str_npc_alyssa_kingsupport_3 I_do_not_know_if_I_can_guarantee_ssuport_amongsst_the_Cult,_but_I_will_try_to_convince_ssome_of_my_friends_if_I_may_take_ssome_leave.
str_npc_roland_kingsupport_3 Though_I_hail_from_Barclay,_I_know_a_number_of_the_knights_and_lords_of_Pendor._It_would_take_me_a_few_weeks_to_contact_them_all,_but_I_feel_sure_that_with_Astraea's_guidance,_I_can_persuade_them_to_join_our_cause.
str_npc_kaverra_kingsupport_3 Say,_Captain,_I_might_be_able_to_give_you_some_help_with_the_fishing_villages_and_the_merchants._My_old_master_is_well-respected_and_he_has_a_lot_of_friends,_and_of_course,_I_know_all_the_villagers_in_Jayek._Could_you_do_without_me_for_few_weeks?_I_could_maybe_drum_up_some_support_for_you.
str_npc_sigismund_kingsupport_3 You_might_remember,_Captain,_that_I_got_around_a_lot_when_I_had_my_militia,_and_the_farmers_in_the_Fierdsvain_regarded_us_right_highly._If_I_took_a_few_weeks_to_visit_the_villages_I_used_to_protect,_I_know_that_when_the_farmers_heard_your_plans,_they'd_back_you!
str_npc_boadice_kingsupport_3 Grant_me_some_time_with_the_Daughters_of_Persinoe,_and_I_will_see_what_support_I_can_raise_for_you.
str_npc_adonja_kingsupport_objection Chief,_you_actually_sent_that_drunken_sot,_Sigismund,_off_to_raise_support_for_your_cause_amongst_farmers?!_He_will_raise_nothing_but_another_pint,_if_left_to_his_own_devices._Next_time_we_ride_through_a_village_he's_visited,_we'll_be_lucky_if_they_don't_come_after_us_with_torches_and_pitchforks!
str_npc_leslie_kingsupport_objection {reg63?Sir:Madam}_Captain,_I_think_it_was_a_mistake_to_allow_a_sadistic_martinet_like_Donavan_to_speak_for_you._Half_Pendor_knows_of_his_ways_of_training,_I'd_wager,_and_you_don't_want_people_thinking_you_are_like_him!
str_npc_ansen_kingsupport_objection My_{reg63?lord:lady}_you_have_made_a_serious_error_in_sending_Boadice_on_any_sort_of_mission_which_requires_diplomacy!_What_person_of_sense_will_listen_to_a_haughty_ex-queen_who_despises_men?_She_will_harm,_not_aid,_your_cause.
str_npc_riva_kingsupport_objection Captain,_I_could_scarce_believe_my_ears_when_I_heard_you_had_sent_that_murdering_bitch_Julia_off_to_muster_support_for_you_in_the_Empire._She'll_be_lucky_if_the_Legionnaires_don't_hang_her_from_the_gates_of_Janos._Certainly,_no_one_will_pay_her_any_mind_when_she_praises_you!
str_npc_kassim_kingsupport_objection {reg63?Bahadur:Bibi}_{playername},_I_overheard_what_you_told_Kaverra._Do_you_really_think_an_ignorant_peasant_wench_with_a_reputation_for_gelding_her_enemies_is_a_suitable_envoy_for_such_an_important_mission?_Amongst_my_people,_she_would_be_killed_instantly.
str_npc_lethaldiran_kingsupport_objection Captain,_I_hear_you've_packed_Ediz_off_to_muster_support_for_you_amongst_his_people._Why_do_you_even_want_Singalian_support?_They_are_naught_but_worthless_slavers_and_mercenaries.
str_npc_jocelyn_kingsupport_objection Captain,_you_actually_asked_Diev,_of_all_people,_to_aid_you_in_gaining_Ravenstern_support?_What_possible_mind_will_any_law-abiding_people_pay_to_a_cowardly_poacher?_You_will_harm_your_cause,_not_aid_it,_by_sending_such_an_envoy.
str_npc_alistair_kingsupport_objection Captain,_I_can_only_surmise_that_you_have_taken_leave_of_your_senses._No_knight_cares_to_be_preached_at_by_a_moralizing_moron_as_to_the_rightness_of_a_rebel_to_rule._Sir_Roland_may_possibly_bore_a_few_knights_into_token_agreement,_if_you_are_lucky,_assuming_he_gets_past_preaching_first_of_Astrea_and_then_remembering_to_mention_your_name_as_a_possible_ruler.
str_npc_rayne_kingsupport_objection Captain,_to_allow_a_doddering_braggart_from_an_enemy_country_the_freedom_to_plot_with_his_cohorts_against_Pendor_is_madness._You_will_rue_the_day_you_let_that_Mettenwiener_speak_for_you,_I'll_warrant.
str_npc_julia_kingsupport_objection Centurion,_you_cannot_have_really_believed_that_a_jumped-up_bandit's_whore_like_Riva_could_sway_the_opinions_of_Larian_nobility_on_your_behalf._The_first_moment_she_gulps_her_wine_and_wipes_her_lips_on_her_sleeve,_or_worse,_blows_her_nose_on_it,_they_will_know_her_for_the_parvenu_she_is!_If_you_wished_support_amongst_the_bandits,_she_might_have_done_some_good..._
str_npc_frederick_kingsupport_objection So,_you_sent_that_pretentious_young_ass,_Sir_Rayne,_off_to_preach_your_virtues_as_potential_{reg63?king:queen}_of_Pendor,_did_you?_Hmmph,_you_are_a_bit_naive,_aren't_you?_Not,_mind_you,_that_I_miss_the_sound_of_his_voice_in_the_troop.
str_npc_ediz_kingsupport_objection Send_an_assassin_on_an_errand_and_you_assassinate_your_cause,_Captain,_which_is_exactly_what_you've_done._He'll_no_doubt_adroitly_arrange_things_so_it_seems_you_have_Noldor_support,_until_he's_ready_to_spring_his_real_plan_on_you!
str_npc_sara_kingsupport_objection O_Valiant_One,_you_have_made_a_grave_mistake_today._Who_on_earth_would_pay_attention_to_anything_a_Serpent_Priestess_has_to_say?_She's_likely_setting_you_up_for_sacrifice,_not_the_throne.
str_npc_donavan_kingsupport_objection Captain,_your_tactical_instincts_are_normally_excellent,_but_sending_that_whining_apology_for_a_merchant_and_soldier_to_speak_to_her_fellow_money_grubbers_is_idiotic._You_gain_nothing_when_you_deploy_an_unworthy_representative_to_plead_your_cause.
str_npc_diev_kingsupport_objection Could_you_not_have_found_a_more_suitable_messenger_than_a_runaway_from_an_evil_Order?_Why_would_you_wish_support_from_his_cohorts?
str_npc_alyssa_kingsupport_objection Ssending_a_sslut_like_Ssara_to_sspread_word_of_your_valor_and_fitness_to_rule_is_inssane!_She'll_sspread_nothing_but_her_legss,_and_perhapss_whisspher_a_word_in_your_favor_in_the_ear_of_ssome_poor_ssod_of_a_lordling_when_she's_exhausted_his_passion.
str_npc_roland_kingsupport_objection My_good_{reg63?Sir:Madam}_Captain,_I_am_utterly_appalled_that_you_would_employ_a_sinful_and_murderous_dilettante_like_Sir_Alistair_as_your_ambassador._That_will_count_heavily_against_you,_I_fear!
str_npc_kaverra_kingsupport_objection I_gotta_tell_you,_Captain,_sending_that_tribal_pig_Kassim_to_win_support_for_your_cause_amongst_his_heathen_kin_is_a_big_mistake._You_know_how_they_are_-_they_will_play_every_possible_side_against_the_middle_and_likely_betray_everybody_they_make_a_deal_with!_What_do_you_want_with_D'Shar_support_anyhow?_They'll_never_accept_you_as_their_Bahadur_Khan!
str_npc_sigismund_kingsupport_objection What_the_devil_were_you_thinking_when_you_asked_that_Mystmountain_savage_to_act_on_your_behalf?_When_she's_done_talking_to_those_merchants,_she'll_knife_them_in_the_back_and_steal_their_goods_-_and_won't_that_reflect_well_on_you?_I_never_before_took_you_for_a_fool,_Captain,_and_I_hope_the_problem_is_that_you_were_drunk_when_you_sent_her!_That_I_could_understand.
str_npc_boadice_kingsupport_objection Captain,_allowing_that_bookish_young_sprig,_Ansen,_to_speak_for_you_is_like_sending_your_horse_to_negotiate_with_a_pack_of_wolves._He_knows_nothing_he_cannot_read_from_a_book._You_should_have_sent_someone_wise_in_the_ways_of_ruling_a_country,_not_a_bookworm_who_fancies_himself_a_medic.
str_npc_adonja_intel_mission I_have_some_contacts_amongst_those_Ravenstern_merchants_who_don't_turn_up_their_noses_and_refuse_to_deal_with_the_Mystmountain_clans._They_hear_everything_that's_going_on_in_their_travels._I_could_visit_a_couple_of_them_and_sniff_out_the_latest_gossip_for_you_if_you_like.
str_npc_leslie_intel_mission {reg63?Sir:My_lady},_if_you're_interested_in_the_way_the_political_winds_are_blowing,_I_could_put_out_a_few_feelers_amongst_my_merchant_acquaintances_in_{s17}._They_have_to_know_every_detail_of_Pendor_politics_so_they_know_where_to_invest,_buy_and_sell.
str_npc_ansen_intel_mission My_{reg63?lord:lady},_though_my_father_refuses_all_contact_with_me,_my_sister_and_I_stay_in_touch._She_will_have_overheard_all_that_is_going_on,_as_her_husband_is_the_son_of_another_great_merchanting_house._I_know_she'd_be_pleased_to_see_me_and_she_could_tell_me_all_about_the_current_talk_amongst_the_great_merchant_houses.
str_npc_riva_intel_mission Captain,_if_you_could_spare_me_for_a_few_days,_I_would_like_to_look_up_an_old_comrade-in-arms_in_Laria,_who_has_from_time_to_time_led_a_small_company_in_the_pay_of_the_{s18}._He_is_a_good_man,_the_kind_who_speaks_little_and_listens_much._I'm_sure,_over_a_drink_or_two,_he_would_let_me_know_which_way_the_political_winds_are_blowing_in_those_parts.
str_npc_kassim_intel_mission If_you_like,_{reg63?Bahadur:Bibi}_{playername},_I_can_take_a_few_days_to_visit_my_mother's_sister's_brother-in-law's_family_in_{s17}._They_own_a_caravanserai_there,_and_hear_the_news_in_the_{s18}._They_may_have_some_gossip_about_the_feuds_and_rivalries_of_the_D'Shar_lords_and_clans,_if_that_is_of_interest_to_you.
str_npc_lethaldiran_intel_mission Oi,_Captain,_while_I_am_not_strictly_welcome_in_the_Woods_of_Laria,_I_might_be_able_to_contact_some_former_duelling_partners_of_mine_and_pick_up_a_bit_of_information_as_to_how_the_Noldor_feel_about_you.
str_npc_jocelyn_intel_mission Captain,_when_I_escaped_the_Order_of_Eventide,_I_swore_I'd_never_speak_to_any_of_my_former_Knightly_brothers_save_at_the_end_of_a_sword's_point._Because_of_my_respect_for_you,_I'd_be_willing_to_contact_a_few_of_them_on_your_behalf,_and_try_to_sway_them_to_your_cause._I_cannot_guarantee_that_they_will_listen,_however.
str_npc_alistair_intel_mission Support_from_the_{s18}_could_only_improve_your_chances_of_ruling_Pendor,_Captain,_and_as_you_know,_my_family_stands_high_in_{s17}._I_might_see_if_any_of_my_old_friends_might_be_inclined_to_pass_on_a_little_{s17}_gossip.
str_npc_rayne_intel_mission {reg63?Sir:My_lady},_it_has_been_some_time_since_I_enjoyed_the_civilities_of_{s17},_and_the_company_of_the_hidden_Knights_of_the_Falcon._I_could_perhaps_go_there,_and_furnish_you_with_an_account_of_what_is_currently_occupying_the_lord_of_{s17}.
str_npc_julia_intel_mission Centurion,_I've_been_thinking_a_few_of_my_old_mates_from_the_{s17}_tavern_I_worked_in_might_be_glad_to_see_me._They_would_never_betray_the_city,_but_like_me,_they_have_no_particular_affection_for_blue-bloods_or_Snake_worshipers,_and_may_be_willing_to_slip_a_little_political_gossip_our_way._The_gentry_are_always_falling_out_over_one_little_thing_or_another,_you_know.
str_npc_frederick_intel_mission I_hear_that_some_of_the_Mettenheim_troops_are_currently_in_the_vicinity_of_{s17}._It_would_be_good_to_hear_some_gossip_of_their_exploits_in_Pendor;_such_information_might_benefit_you_as_well.
str_npc_ediz_intel_mission Captain,_I_hear_some_of_my_cousins_have_hired_on_with_the_lord_of_{s17}._If_I_went_there_to_see_them,_I_might_pick_up_some_useful_information_for_you_about_what_their_lord_is_thinking_and_doing.
str_npc_sara_intel_mission Oh_valiant_one!_With_your_permission,_I_was_thinking_that_I_might_pay_a_visit_to_Savador_Castle._I_try_not_to_revisit_old_haunts_very_often,_but_I_have_delightful_memories_of_a_knight_who_serves_the_lord_there,_and_I_may_be_able_to_provide_you_some_information_about_his_lord's_political_leanings.
str_npc_donavan_intel_mission Captain,_you'll_recall_I_helped_train_the_garrison_of_{s17}?_One_of_their_number_has_lately_been_in_touch_with_me,_and_suggests_that_if_I_were_to_visit_him,_he_could_pass_me_information_on_events_within_the_{s18}._I_am_willing_to_do_this,_if_you_can_spare_me._While_it_is_a_great_disgrace_to_be_a_traitor,_there_is_no_dishonor_in_making_use_of_one.
str_npc_diev_intel_mission Say,_Captain,_my_adopted_parents_aren't_getting_any_younger,_and_I'd_like_to_pay_them_a_visit._My_father_doubtless_has_heard_a_great_deal_of_gossip_in_his_travels_as_a_caravn_master,_and_I_could_likely_glean_some_good_information_for_you_there.
str_npc_alyssa_intel_mission I_sstill_have_ssome_good_friends_in_{s17},_Captain,_who_do_not_hold_it_against_me_that_I_left_the_Snake_Cult._Sshall_I_go_there_and_ssee_what_I_might_learn_of_{s17}_for_you?
str_npc_roland_intel_mission My_good_Captain,_I've_received_a_letter_from_a_friend_of_mine_who_is_also_a_Knight_of_the_Dawn._It_appears_that_our_Barclay_Order_has_sent_a_contingent_of_them_to_Pendor_to_aid_Pendor's_fight_against_the_Snake_Cult._They_have_just_landed_in_{s17}._I_would_very_much_like_to_hear_news_of_my_former_Order,_and_I'm_sure_that_information_would_interest_you_as_well.
str_npc_kaverra_intel_mission Captain,_I've_had_word_my_granfer's_failing_and_wants_to_see_me._I'd_like_to_go_and_see_him_off,_if_you'd_permit._While_I'm_in_Jayek_I_can_see_what_the_fisherfolk_have_to_say,_and_also_stop_in_to_see_my_old_master_in_{s17}._He_likely_can_provide_some_good_gossip.
str_npc_sigismund_intel_mission Captain,_I've_a_mind_to_visit_my_old_village_and_sink_a_few_pints_with_the_lads_there,_just_get_a_sort_of_feeling_for_what's_going_on_in_the_{s18}_these_days,_how_many_raids_they've_had,_and_I'd_like_to_see_how_Claire's_little_sister_grew_up._If_I_could_take_a_few_days_leave,_I'm_sure_I'd_learn_something_there_of_benefit_to_us.
str_npc_boadice_intel_mission Captain,_I've_a_wish_to_spend_a_few_days_on_leave_in_{s17}._There's_a,_well,_you_see,_there's_a_girl_there..._I_can't_seem_to_get_her_out_of_my_mind,_and_I'd_like_to_see_her_again._Her_father's_a_wealthy_landowner_and_I_could_probably_pick_up_a_bit_of_gossip_for_you_while_I_was_there.
str_npc_adonja_fief_acceptance You_will_make_me_the_lady_of_{s17}?_Oh,_Captain,_I_can_send_for_my_clan_and_they_can_settle_in_a_safe_place_at_last_and_never_have_to_raid_again!
str_npc_leslie_fief_acceptance {s17}_as_a_fief?_Well,_I've_always_run_a_business,_not_governed_anything._I'd_wager_I_could_make_that_place_yield_a_fair_bit_of_revenue._I_thank_you,_{reg63?my_Lord:my_lady},_you_are_most_kind_to_me.
str_npc_ansen_fief_acceptance {reg63?My_lord:My_lady},_it_is_most_generous_of_you_to_offer_me_{s17}._I_would_be_pleased_to_hold_it,_and_I_swear_to_govern_it_kindly_and_justly.
str_npc_riva_fief_acceptance It_is_good_of_you_to_grant_me_{s17}_as_a_fief_and_quite_fitting._You_will_ever_command_the_loyalty_of_my_ancient_house_and_always_be_my_welcome_guest.
str_npc_kassim_fief_acceptance {reg63?Bahadur:Bibi},_I_would_be_most_pleased_to_hold_{s17}._I_will_send_word_to_to_my_kinsmen,_and_let_them_know_that_there_is_honorable_gold_to_be_earned_serving_under_me_in_your_armies._They_will_flock_to_fight_under_your_banner!
str_npc_lethaldiran_fief_acceptance {reg63?Sir:Lady},_I_thank_you_for_the_offer_of_a_fief._I_think_I'll_start_a_school_for_rangers_there,_and_train_you_up_a_Noldor_force_for_your_protection.
str_npc_jocelyn_fief_acceptance Aye,_I'll_hold_{s17},_with_thanks_and_loyalty_to_you._I_swear_to_keep_it_free_of_Heretics_and_anyone_else_who_breaks_your_laws._I'll_also_take_on_some_new_squires_and_begin_training_up_some_more_knights_for_you.
str_npc_alistair_fief_acceptance You_recompense_me_with_the_fief_of_{s17}?_Thank_you,_Captain,_I_am_in_your_debt_and_will_serve_you_loyally_for_all_my_days.
str_npc_rayne_fief_acceptance {reg63?Sir:Madam}_Captain,_I_wish_my_father_were_still_alive_to_see_this_day._{s17}_as_my_own_holding?_I_hardly_know_what_to_say,_other_than_to_thank_you_from_the_bottom_of_my_heart.
str_npc_julia_fief_acceptance You'd_make_me_a_lady,_Centurion?_No_thanks,_I'll_have_none_of_that,_but_if_you'd_title_me_'Tribune'-_a_tribune_was_a_servant_of_the_people_in_the_Old_Empire_-_then_I_suppose_I_could_bring_myself_to_run_{s17}_for_you._Blue-blooded_malefactors_and_stray_Snake_Cultists_will_rue_the_day_I_take_up_my_office_there!
str_npc_frederick_fief_acceptance You_grant_a_citizen_of_Mettenheim_a_Pendor_fief?_I_am_honored_to_accept._You_shall_see_how_well_I_hold_it_for_you.
str_npc_ediz_fief_acceptance Well,_Captain,_I_suppose_I_could_settle_down_in_{s17}_and_keep_order_there_for_you._I'll_see_if_some_of_my_clan_would_like_to_settle_there_with_me!
str_npc_sara_fief_acceptance How_generous_and_kind_you_are,_O_Valorous_One._Allow_me_to_express_my_joy_at_your_bestowal_of_this_signal_honor_upon_me._Your_perspicacity_and_judgement_rival_that_of_King_Solomon,_whose_wisdom_was_hitherto_unsurpassed._Ooh,_this_means_I_can_have_my_very_own_stable_of_knights,_too!_I_must_begin,_um,_recruiting_at_once!
str_npc_donavan_fief_acceptance You_do_me_a_great_honor,_captain._In_Barclay,_a_younger_son_has_few_opportunities_to_earn_a_fief_of_his_own._Here,_in_Pendor,_there_is_still_the_chance_for_a_man_to_win_with_his_sword_what_was_denied_him_by_his_birth!_I_shall_hold_{s17}_as_your_vassal,_and_raise_an_army_to_fight_for_your_glory_and_my_own_honor.
str_npc_diev_fief_acceptance Well,_{reg63?sir:my_lady},_that's_gracious_of_you,_and_shows_what_a_right_one_you_are!_A_lot_of_the_noble_lords_around_here_will_think_a_man_like_me_unfit_to_hold_a_fief._Those_under_my_protection_will_enjoy_warm_houses,_low_taxes,_and_enough_to_eat._Damn,_I_wonder_if_hunting_will_be_as_much_fun_when_I_legally_hunt_in_my_own_forests..._
str_npc_alyssa_fief_acceptance Sso,_I_am_to_be_a_lady_insstead_of_a_Priestess?_I_rather_like_that_idea,_and_I_will_enjoy_my_new_sstatuss._My_thanks,_Captain.
str_npc_roland_fief_acceptance My_good_{reg63?Sir:Madam}_Captain,_I_do_not_wish_to_own_a_fief_as_that_would_go_against_my_vows_to_Astraea._I_could_perhaps_govern_it_for_you,_as_your_servant_and_that_of_Astraea,_and_endeavor_to_keep_justice_ever_present_there.
str_npc_kaverra_fief_acceptance By_Thallo,_me_to_be_a_lady,_when_the_best_I'd_hoped_for_out_of_life_was_to_be_a_merchant!_I'll_see_to_it_that_no_Raider_ever_threatens_my_people,_that_I_swear._Just_you_let_me_know_when_you_need_me_to_fight_for_you_and_I_won't_be_a_minute_getting_there,_Captain!
str_npc_sigismund_fief_acceptance Well_that's_downright_generous_of_you,_Captain._I_do_believe_I'll_hire_myself_a_good_brewer,_buy_the_best_grain_in_Sarleon,_set_some_hops_to_growing_and_in_a_few_years,_my_ale_will_be_the_best_in_Pendor.
str_npc_boadice_fief_acceptance Captain,_I_thank_you_more_than_words_can_express._I_never_dreamed_I'd_end_a_landowner_in_Pendor_when_I_fled_Veccavia._I_shall_begin_recruiting_and_training_troops_immediately,_against_the_day_I_can_take_back_my_rightful_place.
str_npc_adonja_woman_to_woman Damn,_Chief,_you've_taught_these_Pendorian_wimps_a_fine_lesson,_that_you_have,_and_I_really_enjoyed_slitting_open_their_sorry_carcasses_for_loot!_In_the_Mystmountains,_we_don't_tolerate_that_sort_of_sexist_bullshit_-_we_value_people_for_their_ability_and_accomplishments.
str_npc_leslie_woman_to_woman So,_Madam_Captain,_you_have_certainly_taught_these_petty-minded_Pendorian_dolts_what_a_woman_can_do,_by_single-handedly_out-doing_every_man_in_the_land._I'm_proud_to_be_part_of_your_company_-_you_are_an_inspiration_to_every_woman_in_Pendor!
str_npc_ansen_woman_to_woman {!}.
str_npc_riva_woman_to_woman Madam,_as_a_lady_of_refinement,_I_should_deplore_your_actions_in_this_man's_world_or_ours,_but_instead_find_that_I_can_only_rejoice_at_your_successes._You_have_made_me_rethink_what_a_'woman's_place'_can_truly_be_-_on_top_of_the_world,_or_the_throne_of_a_united_Pendor,_if_she_so_chooses!
str_npc_kassim_woman_to_woman {!}.
str_npc_lethaldiran_woman_to_woman {!}.
str_npc_jocelyn_woman_to_woman {!}.
str_npc_alistair_woman_to_woman {!}.
str_npc_rayne_woman_to_woman {!}.
str_npc_julia_woman_to_woman Hail,_Centurion,_I_applaud_your_victories!_You_have_never_let_your_sex_get_in_the_way_of_victory_-_quite_the_opposite,_in_fact._You_have_used_it_to_your_advantage_against_those_cretinous_lords_who_try_to_keep_women_barefoot,_pregnant_and_subservient_to_them.
str_npc_frederick_woman_to_woman {!}.
